Prefix:  ctg(ln(x+5))
Postfix: x 5 + ln ctg 
x=-9.620847, y=0.000000
x=-9.619846, y=0.000000
x=-9.618846, y=0.000000
x=-9.617846, y=0.000000
x=-9.616845, y=0.000000
x=-9.615845, y=0.000000
x=-9.614844, y=0.000000
x=-9.613844, y=0.000000
x=-9.612844, y=0.000000
x=-9.611843, y=0.000000
x=-9.610843, y=0.000000
x=-9.609842, y=0.000000
x=-9.608842, y=0.000000
x=-9.607841, y=0.000000
x=-9.606841, y=0.000000
x=-9.605841, y=0.000000
x=-9.604840, y=0.000000
x=-9.603840, y=0.000000
x=-9.602839, y=0.000000
x=-9.601839, y=0.000000
x=-9.600839, y=0.000000
x=-9.599838, y=0.000000
x=-9.598838, y=0.000000
x=-9.597837, y=0.000000
x=-9.596837, y=0.000000
x=-9.595837, y=0.000000
x=-9.594836, y=0.000000
x=-9.593836, y=0.000000
x=-9.592835, y=0.000000
x=-9.591835, y=0.000000
x=-9.590835, y=0.000000
x=-9.589834, y=0.000000
x=-9.588834, y=0.000000
x=-9.587833, y=0.000000
x=-9.586833, y=0.000000
x=-9.585833, y=0.000000
x=-9.584832, y=0.000000
x=-9.583832, y=0.000000
x=-9.582831, y=0.000000
x=-9.581831, y=0.000000
x=-9.580831, y=0.000000
x=-9.579830, y=0.000000
x=-9.578830, y=0.000000
x=-9.577829, y=0.000000
x=-9.576829, y=0.000000
x=-9.575829, y=0.000000
x=-9.574828, y=0.000000
x=-9.573828, y=0.000000
x=-9.572827, y=0.000000
x=-9.571827, y=0.000000
x=-9.570827, y=0.000000
x=-9.569826, y=0.000000
x=-9.568826, y=0.000000
x=-9.567825, y=0.000000
x=-9.566825, y=0.000000
x=-9.565825, y=0.000000
x=-9.564824, y=0.000000
x=-9.563824, y=0.000000
x=-9.562823, y=0.000000
x=-9.561823, y=0.000000
x=-9.560822, y=0.000000
x=-9.559822, y=0.000000
x=-9.558822, y=0.000000
x=-9.557821, y=0.000000
x=-9.556821, y=0.000000
x=-9.555820, y=0.000000
x=-9.554820, y=0.000000
x=-9.553820, y=0.000000
x=-9.552819, y=0.000000
x=-9.551819, y=0.000000
x=-9.550818, y=0.000000
x=-9.549818, y=0.000000
x=-9.548818, y=0.000000
x=-9.547817, y=0.000000
x=-9.546817, y=0.000000
x=-9.545816, y=0.000000
x=-9.544816, y=0.000000
x=-9.543816, y=0.000000
x=-9.542815, y=0.000000
x=-9.541815, y=0.000000
x=-9.540814, y=0.000000
x=-9.539814, y=0.000000
x=-9.538814, y=0.000000
x=-9.537813, y=0.000000
x=-9.536813, y=0.000000
x=-9.535812, y=0.000000
x=-9.534812, y=0.000000
x=-9.533812, y=0.000000
x=-9.532811, y=0.000000
x=-9.531811, y=0.000000
x=-9.530810, y=0.000000
x=-9.529810, y=0.000000
x=-9.528810, y=0.000000
x=-9.527809, y=0.000000
x=-9.526809, y=0.000000
x=-9.525808, y=0.000000
x=-9.524808, y=0.000000
x=-9.523808, y=0.000000
x=-9.522807, y=0.000000
x=-9.521807, y=0.000000
x=-9.520806, y=0.000000
x=-9.519806, y=0.000000
x=-9.518806, y=0.000000
x=-9.517805, y=0.000000
x=-9.516805, y=0.000000
x=-9.515804, y=0.000000
x=-9.514804, y=0.000000
x=-9.513803, y=0.000000
x=-9.512803, y=0.000000
x=-9.511803, y=0.000000
x=-9.510802, y=0.000000
x=-9.509802, y=0.000000
x=-9.508801, y=0.000000
x=-9.507801, y=0.000000
x=-9.506801, y=0.000000
x=-9.505800, y=0.000000
x=-9.504800, y=0.000000
x=-9.503799, y=0.000000
x=-9.502799, y=0.000000
x=-9.501799, y=0.000000
x=-9.500798, y=0.000000
x=-9.499798, y=0.000000
x=-9.498797, y=0.000000
x=-9.497797, y=0.000000
x=-9.496797, y=0.000000
x=-9.495796, y=0.000000
x=-9.494796, y=0.000000
x=-9.493795, y=0.000000
x=-9.492795, y=0.000000
x=-9.491795, y=0.000000
x=-9.490794, y=0.000000
x=-9.489794, y=0.000000
x=-9.488793, y=0.000000
x=-9.487793, y=0.000000
x=-9.486793, y=0.000000
x=-9.485792, y=0.000000
x=-9.484792, y=0.000000
x=-9.483791, y=0.000000
x=-9.482791, y=0.000000
x=-9.481791, y=0.000000
x=-9.480790, y=0.000000
x=-9.479790, y=0.000000
x=-9.478789, y=0.000000
x=-9.477789, y=0.000000
x=-9.476789, y=0.000000
x=-9.475788, y=0.000000
x=-9.474788, y=0.000000
x=-9.473787, y=0.000000
x=-9.472787, y=0.000000
x=-9.471786, y=0.000000
x=-9.470786, y=0.000000
x=-9.469786, y=0.000000
x=-9.468785, y=0.000000
x=-9.467785, y=0.000000
x=-9.466784, y=0.000000
x=-9.465784, y=0.000000
x=-9.464784, y=0.000000
x=-9.463783, y=0.000000
x=-9.462783, y=0.000000
x=-9.461782, y=0.000000
x=-9.460782, y=0.000000
x=-9.459782, y=0.000000
x=-9.458781, y=0.000000
x=-9.457781, y=0.000000
x=-9.456780, y=0.000000
x=-9.455780, y=0.000000
x=-9.454780, y=0.000000
x=-9.453779, y=0.000000
x=-9.452779, y=0.000000
x=-9.451778, y=0.000000
x=-9.450778, y=0.000000
x=-9.449778, y=0.000000
