worker	project_id	task_id	resolution_type	start_ts	end_ts
login1	1	task_115	resolution_2	1576166158	1576166285
login1	1	task_116	resolution_1	1575399908	1575400945
login1	1	task_117	resolution_1	1575983823	1575985692
login1	2	task_118	resolution_1	1576082833	1576084565
login1	1	task_119	resolution_1	1575737098	1575739899
login1	1	task_120	resolution_1	1576614134	1576614221
login1	1	task_121	resolution_1	1575662942	1575666310
login1	1	task_122	resolution_1	1576612097	1576612478
login1	2	task_123	resolution_1	1576685213	1576686029
login1	1	task_124	resolution_1	1575661493	1575662940
login1	1	task_125	resolution_1	1576611566	1576611847
login1	1	task_126	resolution_1	1575896498	1575897241
login1	1	task_127	resolution_1	1576613253	1576614129
login1	1	task_128	resolution_1	1576610595	1576611562
login1	1	task_129	resolution_1	1576614224	1576615702
login1	1	task_130	resolution_1	1576253200	1576253864
login1	1	task_131	resolution_1	1576615706	1576616566
login1	1	task_132	resolution_1	1576605011	1576605224
login1	1	task_133	resolution_1	1575898300	1575899075
login1	1	task_134	resolution_1	1576251005	1576251545
login1	1	task_135	resolution_2	1576605336	1576605363
login1	1	task_136	resolution_1	1576605366	1576606137
login1	2	task_137	resolution_1	1575826602	1575826743
login1	1	task_138	resolution_2	1575219730	1575219906
login1	2	task_139	resolution_1	1575826441	1575826599
login1	1	task_140	resolution_1	1575667903	1575668845
login1	1	task_141	resolution_1	1575666313	1575666992
login1	1	task_142	resolution_1	1575667725	1575667898
login1	2	task_143	resolution_1	1576772127	1576773190
login1	1	task_144	resolution_1	1575658118	1575658585
login1	1	task_145	resolution_1	1575660971	1575661489
login1	1	task_146	resolution_1	1575671461	1575672218
login1	1	task_147	resolution_1	1575668849	1575669583
login1	1	task_148	resolution_1	1575660735	1575660966
login1	1	task_149	resolution_1	1575670759	1575671456
login1	1	task_150	resolution_2	1576775239	1576775251
login1	1	task_151	resolution_1	1575834489	1575836704
login1	1	task_152	resolution_1	1575670150	1575670623
login1	1	task_153	resolution_1	1575669588	1575670146
login1	1	task_154	resolution_1	1575670626	1575670757
login1	1	task_155	resolution_1	1575398984	1575399664
login1	1	task_156	resolution_1	1575658588	1575659522
login1	1	task_157	resolution_1	1575672220	1575673635
login1	2	task_158	resolution_1	1576691197	1576692216
login1	1	task_159	resolution_1	1576775254	1576775381
login1	1	task_160	resolution_1	1576255349	1576256106
login1	1	task_161	resolution_1	1576774786	1576775235
login1	1	task_162	resolution_1	1576774600	1576774781
login1	1	task_163	resolution_2	1576693694	1576693761
login1	1	task_164	resolution_1	1575745766	1575746124
login1	2	task_165	resolution_1	1575645726	1575646853
login1	1	task_166	resolution_1	1575673638	1575675043
login1	1	task_167	resolution_1	1575659525	1575660728
login1	1	task_168	resolution_1	1576773561	1576774595
login1	1	task_169	resolution_1	1576508969	1576510374
login1	1	task_170	resolution_1	1576773207	1576773558
login1	1	task_171	resolution_1	1576002839	1576003793
login1	1	task_172	resolution_1	1575897244	1575898299
login1	2	task_173	resolution_1	1575730996	1575732394
login1	1	task_174	resolution_1	1575657087	1575657324
login1	1	task_175	resolution_1	1575657327	1575658116
login1	2	task_176	resolution_1	1576834654	1576835759
login1	1	task_177	resolution_1	1576604125	1576604891
login1	2	task_178	resolution_1	1576601185	1576604033
login1	1	task_179	resolution_1	1575907971	1575909126
login1	2	task_180	resolution_1	1575820851	1575821772
login1	1	task_181	resolution_2	1575909130	1575909294
login1	2	task_182	resolution_2	1575227046	1575227142
login1	1	task_183	resolution_1	1576775979	1576776083
login1	1	task_184	resolution_1	1576777070	1576777438
login1	2	task_185	resolution_1	1576167083	1576171722
login1	1	task_186	resolution_1	1575733504	1575733658
login1	2	task_187	resolution_1	1575817591	1575817991
login1	2	task_188	resolution_1	1575395786	1575397175
login1	2	task_189	resolution_1	1575302722	1575302913
login1	1	task_190	resolution_1	1576073660	1576074475
login1	1	task_191	resolution_1	1575901306	1575901625
login1	2	task_192	resolution_1	1575300705	1575302378
login1	2	task_193	resolution_1	1575909345	1575909932
login1	1	task_194	resolution_1	1576074857	1576075156
login1	2	task_195	resolution_1	1575227143	1575233153
login1	2	task_196	resolution_1	1575901640	1575902516
login1	1	task_197	resolution_1	1575902537	1575902959
login1	1	task_198	resolution_1	1575213110	1575213952
login1	1	task_199	resolution_1	1576859963	1576860277
login1	2	task_200	resolution_1	1575732397	1575732753
login1	1	task_201	resolution_1	1575666994	1575667720
login1	1	task_202	resolution_1	1576604895	1576605010
login1	1	task_203	resolution_1	1575900757	1575900888
login1	1	task_204	resolution_1	1575823801	1575825920
login1	2	task_205	resolution_2	1576503567	1576503651
login1	1	task_206	resolution_1	1575823336	1575823799
login1	1	task_207	resolution_1	1576689427	1576689954
login1	1	task_208	resolution_1	1576248195	1576248554
login1	1	task_209	resolution_1	1575744955	1575745762
login1	2	task_210	resolution_1	1576513711	1576514296
